Country,Year,Month,Event
599540218941,2020,898528197691,842955241147
599540218941,2017,637860132779,842955241147
599540218941,2013,637860132779,842955241147
599540218941,2006,881714492924,842955241147
599540218941,2002,898528197691,842955241147
599540218941,2003,898528197691,842955241147
599540218941,2011,582981880659,842955241147
599540218941,2015,842191546849,842955241147
599540218941,2014,327893498858,842955241147
599540218941,2016,898528197691,842955241147
599540218941,2018,637860132779,504567342880
599540218941,2017,637860132779,504567342880
599540218941,2017,225044240400,504567342880
599540218941,2017,225044240400,504567342880
599540218941,2017,637860132779,504567342880
599540218941,2017,225044240400,504567342880
599540218941,2016,225044240400,504567342880
599540218941,2015,715105976379,504567342880
599540218941,2015,842191546849,504567342880
599540218941,2015,637860132779,504567342880
599540218941,2014,327893498858,504567342880
599540218941,2007,637860132779,504567342880
599540218941,2008,637860132779,504567342880
599540218941,2019,881714492924,173815961506
599540218941,2019,898528197691,173815961506
599540218941,2018,341814020434,173815961506
599540218941,2018,898528197691,173815961506
599540218941,2017,225044240400,173815961506
599540218941,2017,582981880659,173815961506
599540218941,2016,327893498858,173815961506
599540218941,2016,637860132779,173815961506
599540218941,2016,789269779534,173815961506
599540218941,2015,225044240400,173815961506
599540218941,2015,842191546849,173815961506
599540218941,2014,321193061305,173815961506
599540218941,2014,881714492924,173815961506
599540218941,2014,881714492924,173815961506
599540218941,2014,582981880659,173815961506
599540218941,2014,341814020434,173815961506
599540218941,2018,881714492924,782389966709
599540218941,2002,898528197691,782389966709
599540218941,2017,881714492924,782389966709
599540218941,2006,898528197691,782389966709
599540218941,2006,898528197691,782389966709
599540218941,2005,225044240400,782389966709
599540218941,2005,341814020434,782389966709
599540218941,2003,842191546849,782389966709
599540218941,2003,582981880659,782389966709
599540218941,2001,225044240400,782389966709
922074254021,2019,81113368858,842955241147
922074254021,2011,327893498858,842955241147
922074254021,2008,341814020434,842955241147
922074254021,2009,225044240400,842955241147
922074254021,2008,341814020434,842955241147
922074254021,2012,842191546849,842955241147
922074254021,2011,715105976379,842955241147
922074254021,2011,341814020434,842955241147
922074254021,2010,789269779534,842955241147
922074254021,2008,842191546849,842955241147
922074254021,2020,789269779534,782389966709
922074254021,2018,898528197691,782389966709
922074254021,2016,789269779534,782389966709
922074254021,2016,582981880659,782389966709
922074254021,2016,341814020434,782389966709
922074254021,2017,789269779534,782389966709
922074254021,2015,789269779534,782389966709
922074254021,2015,789269779534,782389966709
922074254021,2014,789269779534,782389966709
922074254021,2014,321193061305,782389966709
922074254021,2019,225044240400,504567342880
922074254021,2018,225044240400,504567342880
922074254021,2018,842191546849,504567342880
922074254021,2017,842191546849,504567342880
922074254021,2017,842191546849,504567342880
922074254021,2016,225044240400,504567342880
922074254021,2015,842191546849,504567342880
922074254021,2015,842191546849,504567342880
922074254021,2013,225044240400,504567342880
922074254021,2013,225044240400,504567342880
922074254021,2016,321193061305,173815961506
922074254021,2015,842191546849,173815961506
922074254021,2014,341814020434,173815961506
922074254021,2013,81113368858,173815961506
922074254021,2013,582981880659,173815961506
922074254021,2011,225044240400,173815961506
922074254021,2002,582981880659,173815961506
922074254021,2001,341814020434,173815961506
922074254021,2007,789269779534,173815961506
922074254021,2008,637860132779,173815961506
