Country,Year,Month,Event,State/Province
599540218941,2020,898528197691,842955241147,611572722954
599540218941,2017,637860132779,842955241147,437800888172
599540218941,2013,637860132779,842955241147,722918171141
599540218941,2006,881714492924,842955241147,124006097873
599540218941,2002,898528197691,842955241147,124006097873
599540218941,2003,898528197691,842955241147,529774963214
599540218941,2011,582981880659,842955241147,611572722954
599540218941,2015,842191546849,842955241147,611572722954
599540218941,2014,327893498858,842955241147,467736529324
599540218941,2016,898528197691,842955241147,437800888172
599540218941,2018,637860132779,504567342880,338534963061
599540218941,2017,637860132779,504567342880,775392800431
599540218941,2017,225044240400,504567342880,124006097873
599540218941,2017,225044240400,504567342880,467736529324
599540218941,2017,637860132779,504567342880,850237536710
599540218941,2017,225044240400,504567342880,529774963214
599540218941,2016,225044240400,504567342880,529774963214
599540218941,2015,715105976379,504567342880,681767483263
599540218941,2015,842191546849,504567342880,124006097873
599540218941,2015,637860132779,504567342880,529774963214
599540218941,2014,327893498858,504567342880,1013418570070
599540218941,2007,637860132779,504567342880,850237536710
599540218941,2008,637860132779,504567342880,850237536710
599540218941,2019,881714492924,173815961506,775392800431
599540218941,2019,898528197691,173815961506,1013418570070
599540218941,2018,341814020434,173815961506,791859411120
599540218941,2018,898528197691,173815961506,1013418570070
599540218941,2017,225044240400,173815961506,1013418570070
599540218941,2017,582981880659,173815961506,791859411120
599540218941,2016,327893498858,173815961506,1013418570070
599540218941,2016,637860132779,173815961506,529774963214
599540218941,2016,789269779534,173815961506,115979017587
599540218941,2015,225044240400,173815961506,115979017587
599540218941,2015,842191546849,173815961506,1017390724292
599540218941,2014,321193061305,173815961506,529774963214
599540218941,2014,881714492924,173815961506,899478767606
599540218941,2014,881714492924,173815961506,529774963214
599540218941,2014,582981880659,173815961506,899478767606
599540218941,2014,341814020434,173815961506,791859411120
599540218941,2018,881714492924,782389966709,338534963061
599540218941,2002,898528197691,782389966709,485120184591
599540218941,2017,881714492924,782389966709,124006097873
599540218941,2006,898528197691,782389966709,772981047552
599540218941,2006,898528197691,782389966709,775392800431
599540218941,2005,225044240400,782389966709,722918171141
599540218941,2005,341814020434,782389966709,611572722954
599540218941,2003,842191546849,782389966709,611572722954
599540218941,2003,582981880659,782389966709,775392800431
599540218941,2001,225044240400,782389966709,588234578559
922074254021,2019,81113368858,842955241147,156063852278
922074254021,2011,327893498858,842955241147,744228374843
922074254021,2008,341814020434,842955241147,27828004076
922074254021,2009,225044240400,842955241147,373869605862
922074254021,2008,341814020434,842955241147,623798892277
922074254021,2012,842191546849,842955241147,744228374843
922074254021,2011,715105976379,842955241147,744228374843
922074254021,2011,341814020434,842955241147,1081167887854
922074254021,2010,789269779534,842955241147,184001692688
922074254021,2008,842191546849,842955241147,98018115111
922074254021,2020,789269779534,782389966709,576287406604
922074254021,2018,898528197691,782389966709,913033772429
922074254021,2016,789269779534,782389966709,744228374843
922074254021,2016,582981880659,782389966709,744228374843
922074254021,2016,341814020434,782389966709,963432031780
922074254021,2017,789269779534,782389966709,156063852278
922074254021,2015,789269779534,782389966709,1096475016718
922074254021,2015,789269779534,782389966709,1081167887854
922074254021,2014,789269779534,782389966709,592407251093
922074254021,2014,321193061305,782389966709,744228374843
922074254021,2019,225044240400,504567342880,963432031780
922074254021,2018,225044240400,504567342880,275418627945
922074254021,2018,842191546849,504567342880,744228374843
922074254021,2017,842191546849,504567342880,1026562091902
922074254021,2017,842191546849,504567342880,98018115111
922074254021,2016,225044240400,504567342880,576287406604
922074254021,2015,842191546849,504567342880,913033772429
922074254021,2015,842191546849,504567342880,576287406604
922074254021,2013,225044240400,504567342880,623798892277
922074254021,2013,225044240400,504567342880,963432031780
922074254021,2016,321193061305,173815961506,373869605862
922074254021,2015,842191546849,173815961506,373869605862
922074254021,2014,341814020434,173815961506,1081167887854
922074254021,2013,81113368858,173815961506,963432031780
922074254021,2013,582981880659,173815961506,373869605862
922074254021,2011,225044240400,173815961506,373869605862
922074254021,2002,582981880659,173815961506,623798892277
922074254021,2001,341814020434,173815961506,770066868597
922074254021,2007,789269779534,173815961506,373869605862
922074254021,2008,637860132779,173815961506,373869605862
805650366791,2010,881714492924,842955241147,1083570781771
805650366791,2007,321193061305,842955241147,397587297653
